Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Kurt Warner*+,STL,30,QB,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4,233,65,8.8,8.4,12.9,301.9,101.4,38,233,7.87,7.41,6.5,1,2
2,Peyton Manning,IND,25,QB,16,16,6-10-0,343,547,62.7,4131,26,4.8,23,4.2,201,86,7.6,6.6,12,258.2,84.1,29,232,6.77,5.88,5,,
3,Brett Favre*,GNB,32,QB,16,16,12-4-0,314,510,61.6,3921,32,6.3,15,2.9,187,67,7.7,7.6,12.5,245.1,94.1,22,151,7.09,7.02,4.1,1,2
4,Aaron Brooks,NOR,25,QB,16,16,7-9-0,312,558,55.9,3832,26,4.7,22,3.9,182,63,6.9,6,12.3,239.5,76.4,50,330,5.76,4.99,8.2,2,3
5,Rich Gannon*,OAK,36,QB,16,16,10-6-0,361,549,65.8,3828,27,4.9,9,1.6,195,49,7,7.2,10.6,239.3,95.5,27,155,6.38,6.61,4.7,1,2
6,Trent Green,KAN,31,QB,16,16,6-10-0,296,523,56.6,3783,17,3.3,24,4.6,176,67,7.2,5.8,12.8,236.4,71.1,39,198,6.38,5.06,6.9,2,3
7,Kerry Collins,NYG,29,QB,16,16,7-9-0,327,568,57.6,3764,19,3.3,16,2.8,189,76,6.6,6,11.5,235.3,77.1,36,206,5.89,5.33,6,3,4
8,Jake Plummer,ARI,27,QB,16,16,7-9-0,304,525,57.9,3653,18,3.4,14,2.7,177,68,7,6.4,12,228.3,79.6,29,204,6.23,5.74,5.2,3,4
9,Jeff Garcia*,SFO,31,QB,16,16,12-4-0,316,504,62.7,3538,32,6.3,12,2.4,184,61,7,7.2,11.2,221.1,94.8,26,114,6.46,6.65,4.9,4,4
10,Doug Flutie,SDG,39,QB,16,16,5-11-0,294,521,56.4,3464,15,2.9,18,3.5,168,78,6.6,5.7,11.8,216.5,72,25,168,6.04,5.1,4.6,1,1
11,Brad Johnson,TAM,33,QB,16,16,9-7-0,340,559,60.8,3406,13,2.3,11,2,181,47,6.1,5.7,10,212.9,77.7,44,269,5.2,4.81,7.3,3,5
12,Steve McNair,TEN,28,QB,15,15,7-8-0,264,431,61.3,3350,21,4.9,12,2.8,161,71,7.8,7.5,12.7,223.3,90.2,37,251,6.62,6.37,7.9,1,4
13,Mark Brunell,JAX,31,QB,15,15,6-9-0,289,473,61.1,3309,19,4,13,2.7,165,44,7,6.6,11.4,220.6,84.1,57,387,5.51,5.13,10.8,1,1
14,Jay Fiedler,MIA,30,QB,16,16,11-5-0,273,450,60.7,3290,20,4.4,19,4.2,152,74,7.3,6.3,12.1,205.6,80.3,27,178,6.52,5.57,5.7,4,4
15,Donovan McNabb*,PHI,25,QB,16,16,11-5-0,285,493,57.8,3233,25,5.1,12,2.4,134,64,6.6,6.5,11.3,202.1,84.3,39,273,5.56,5.49,7.3,2,2
16,Jon Kitna,CIN,29,QB,16,15,6-9-0,313,581,53.9,3216,12,2.1,22,3.8,172,49,5.5,4.2,10.3,201,61.1,25,185,5,3.76,4.1,3,3
17,Kordell Stewart*,PIT,29,QB,16,16,13-3-0,266,442,60.2,3109,14,3.2,11,2.5,147,90,7,6.5,11.7,194.3,81.7,29,175,6.23,5.77,6.2,1,1
18,Tim Couch,CLE,24,QB,16,16,7-9-0,272,454,59.9,3040,17,3.7,21,4.6,135,78,6.7,5.4,11.2,190,73.1,51,353,5.32,4.12,10.1,3,3
19,Elvis Grbac,BAL,31,QB,14,14,8-6-0,265,467,56.7,3033,15,3.2,18,3.9,151,77,6.5,5.4,11.4,216.6,71.1,28,215,5.69,4.66,5.7,2,4
20,Chris Weinke,CAR,29,QB,15,15,1-14-0,293,540,54.3,2931,11,2,19,3.5,138,48,5.4,4.3,10,195.4,62,26,177,4.87,3.74,4.6,,
21,Chris Chandler,ATL,36,QB,14,14,6-8-0,223,365,61.1,2847,16,4.4,14,3.8,128,94,7.8,7,12.8,203.4,84.1,41,261,6.37,5.61,10.1,0,2
22,Tom Brady*,NWE,24,QB,15,14,11-3-0,264,413,63.9,2843,18,4.4,12,2.9,145,91,6.9,6.4,10.8,189.5,86.5,41,216,5.79,5.39,9,3,3
23,Brian Griese,DEN,26,QB,15,15,8-7-0,275,451,61,2827,23,5.1,19,4.2,150,65,6.3,5.4,10.3,188.5,78.5,38,241,5.29,4.48,7.8,1,1
24,Vinny Testaverde,NYJ,38,QB,16,16,10-6-0,260,441,59,2752,15,3.4,14,3.2,147,40,6.2,5.5,10.6,172,75.3,18,122,5.73,5.01,3.9,5,5
25,Daunte Culpepper,MIN,24,QB,11,11,4-7-0,235,366,64.2,2612,14,3.8,13,3.6,127,57,7.1,6.3,11.1,237.5,83.3,33,186,6.08,5.32,8.3,2,2
26,Charlie Batch,DET,27,QB,10,9,0-9-0,198,341,58.1,2392,12,3.5,12,3.5,108,76,7,6.1,12.1,239.2,76.8,33,176,5.93,5.12,8.8,,
27,Tony Banks,WAS,28,QB,15,14,8-6-0,198,370,53.5,2386,10,2.7,10,2.7,106,85,6.4,5.8,12.1,159.1,71.3,29,173,5.55,4.92,7.3,1,1
28,Jim Miller,CHI,30,QB,14,13,11-2-0,228,395,57.7,2299,13,3.3,10,2.5,106,66,5.8,5.3,10.1,164.2,74.9,11,72,5.49,5.02,2.7,3,3
29,Alex Van Pelt,BUF,31,qb,12,8,2-6-0,178,307,58,2056,12,3.9,11,3.6,99,80,6.7,5.9,11.6,171.3,76.4,14,73,6.18,5.38,4.4,1,1
30,Matt Hasselbeck,SEA,26,QB,13,12,5-7-0,176,321,54.8,2023,7,2.2,8,2.5,92,64,6.3,5.6,11.5,155.6,70.9,38,251,4.94,4.32,10.6,0,2
31,Rob Johnson,BUF,28,QB,8,8,1-7-0,134,216,62,1465,5,2.3,7,3.2,71,61,6.8,5.8,10.9,183.1,76.3,31,196,5.14,4.27,12.6,0,1
32,Quincy Carter,DAL,24,QB,8,8,3-5-0,90,176,51.1,1072,5,2.8,7,4,46,64,6.1,4.9,11.9,134,63,12,56,5.4,4.26,6.4,0,2
33,Trent Dilfer,SEA,29,,6,4,4-0-0,73,122,59.8,1014,7,5.7,4,3.3,43,54,8.3,8,13.9,169,92,10,72,7.14,6.83,7.6,0,0
34,Ty Detmer,DET,34,qb,4,4,1-3-0,92,151,60.9,906,3,2,10,6.6,43,27,6,3.4,9.8,226.5,56.9,12,75,5.1,2.71,7.4,1,1
35,Todd Bouman,MIN,29,,5,3,1-2-0,51,89,57.3,795,8,9,4,4.5,32,80,8.9,8.7,15.6,159,98.3,4,27,8.26,8.04,4.3,,
36,Michael Vick,ATL,21,,8,2,1-1-0,50,113,44.2,785,2,1.8,3,2.7,34,52,6.9,6.1,15.7,98.1,62.7,21,113,5.01,4.31,15.7,,
37,Shane Matthews,CHI,31,,4,3,2-1-0,84,129,65.1,694,5,3.9,6,4.7,45,34,5.4,4.1,8.3,173.5,72.3,6,48,4.79,3.53,4.4,2,0
38,Mike McMahon,DET,22,,8,3,1-2-0,53,115,46.1,671,3,2.6,1,0.9,33,69,5.8,6,12.7,83.9,69.9,21,122,4.04,4.15,15.4,1,1
39,Randall Cunningham,BAL,38,,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,31,30,6.4,6.1,10.6,95.5,81.3,12,66,5.02,4.72,11.9,1,2
40,Anthony Wright,DAL,25,,4,3,1-2-0,48,98,49,529,5,5.1,5,5.1,23,80,5.4,4.1,11,132.3,61.1,5,30,4.84,3.63,4.9,1,1
41,Neil O'Donnell,TEN,35,,5,1,0-1-0,42,76,55.3,496,2,2.6,2,2.6,19,35,6.5,5.9,11.8,99.2,73.1,6,58,5.34,4.73,7.3,,
