Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brett Favre,GNB,29,QB,16,16,11-5-0,347,551,63,4212,31,5.6,23,4.2,204,84,7.6,6.9,12.1,263.3,87.8,38,223,6.77,6.07,6.5,1,2
2,Steve Young*,SFO,37,QB,15,15,11-4-0,322,517,62.3,4170,36,7,12,2.3,208,81,8.1,8.4,13,278,101.1,48,234,6.97,7.28,8.5,2,3
3,Peyton Manning,IND,22,QB,16,16,3-13-0,326,575,56.7,3739,26,4.5,28,4.9,191,78,6.5,5.2,11.5,233.7,71.2,22,109,6.08,4.84,3.7,1,1
4,Jake Plummer,ARI,24,QB,16,16,9-7-0,324,547,59.2,3737,17,3.1,20,3.7,179,57,6.8,5.8,11.5,233.6,75,49,280,5.8,4.86,8.2,5,7
5,Randall Cunningham*+,MIN,35,QB,15,14,13-1-0,259,425,60.9,3704,34,8,10,2.4,165,67,8.7,9.3,14.3,246.9,106,20,132,8.03,8.54,4.5,0,1
6,Drew Bledsoe,NWE,26,QB,14,14,8-6-0,263,481,54.7,3633,20,4.2,14,2.9,166,86,7.6,7.1,13.8,259.5,80.9,36,295,6.46,6.01,7,3,4
7,Dan Marino,MIA,37,QB,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,173,61,6.5,6.1,11.3,218.6,80,23,178,5.93,5.54,4.1,1,1
8,Trent Green,WAS,28,QB,15,14,6-8-0,278,509,54.6,3441,23,4.5,11,2.2,173,75,6.8,6.7,12.4,229.4,81.8,49,338,5.56,5.5,8.8,2,2
9,Vinny Testaverde*,NYJ,35,QB,14,13,12-1-0,259,421,61.5,3256,29,6.9,7,1.7,171,82,7.7,8.4,12.6,232.6,101.6,19,140,7.08,7.68,4.3,3,3
10,Steve McNair,TEN,25,QB,16,16,8-8-0,289,492,58.7,3228,15,3,10,2,161,47,6.6,6.3,11.2,201.8,80.1,33,176,5.81,5.53,6.3,1,2
11,Chris Chandler*,ATL,33,QB,14,14,13-1-0,190,327,58.1,3154,25,7.6,12,3.7,144,78,9.6,9.5,16.6,225.3,100.9,45,283,7.72,7.61,12.1,2,2
12,John Elway*,DEN,38,QB,13,12,10-2-0,210,356,59,2806,22,6.2,10,2.8,141,58,7.9,7.9,13.4,215.8,93,18,135,7.14,7.11,4.8,2,2
13,Trent Dilfer,TAM,26,QB,16,16,8-8-0,225,429,52.4,2729,21,4.9,15,3.5,135,79,6.4,5.8,12.1,170.6,74,27,172,5.61,5.05,5.9,3,3
14,Doug Flutie*,BUF,36,QB,13,10,7-3-0,202,354,57.1,2711,20,5.6,11,3.1,136,84,7.7,7.4,13.4,208.5,87.4,12,78,7.19,6.93,3.3,2,2
15,Steve Beuerlein,CAR,33,QB,12,12,4-8-0,216,343,63,2613,17,5,12,3.5,124,68,7.6,7,12.1,217.8,88.2,44,251,6.1,5.59,11.4,1,1
16,Mark Brunell,JAX,28,QB,13,13,10-3-0,208,354,58.8,2601,20,5.6,9,2.5,107,78,7.3,7.3,12.5,200.1,89.9,28,172,6.36,6.35,7.3,4,4
17,Kordell Stewart,PIT,26,QB,16,16,7-9-0,252,458,55,2560,11,2.4,18,3.9,125,55,5.6,4.3,10.2,160,62.9,33,211,4.78,3.58,6.7,0,1
18,Tony Banks,STL,25,QB,14,14,4-10-0,241,408,59.1,2535,7,1.7,14,3.4,119,80,6.2,5,10.5,181.1,68.6,41,237,5.12,4.03,9.1,1,1
19,Troy Aikman,DAL,32,QB,11,11,7-4-0,187,315,59.4,2330,12,3.8,5,1.6,109,67,7.4,7.4,12.5,211.8,88.5,9,58,7.01,7.06,2.8,,
20,Rich Gannon,KAN,33,QB,12,10,5-5-0,206,354,58.2,2305,10,2.8,6,1.7,105,80,6.5,6.3,11.2,192.1,80.1,25,155,5.67,5.49,6.6,1,1
21,Neil O'Donnell,CIN,32,QB,13,11,2-9-0,212,343,61.8,2216,15,4.4,4,1.2,94,76,6.5,6.8,10.5,170.5,90.2,30,217,5.36,5.68,8,1,1
22,Kerry Collins,2TM,26,,11,11,2-9-0,170,353,48.2,2213,12,3.4,15,4.2,0,89,6.3,5,13,201.2,62,31,191,5.27,4.13,8.1,,
23,Charlie Batch,DET,24,QB,12,12,5-7-0,173,303,57.1,2178,11,3.6,6,2,99,98,7.2,7,12.6,181.5,83.5,37,222,5.75,5.61,10.9,2,2
24,Jim Harbaugh,BAL,35,QB,14,12,5-7-0,164,293,56,1839,12,4.1,11,3.8,87,66,6.3,5.4,11.2,131.4,72.9,23,145,5.36,4.55,7.3,1,2
25,Erik Kramer,CHI,34,QB,8,8,3-5-0,151,250,60.4,1823,9,3.6,7,2.8,81,79,7.3,6.8,12.1,227.9,83.1,10,71,6.74,6.22,3.8,2,3
26,Craig Whelihan,SDG,27,QB,10,7,2-5-0,149,320,46.6,1803,8,2.5,19,5.9,82,55,5.6,3.5,12.1,180.3,48,15,111,5.05,2.98,4.5,2,2
27,Donald Hollas,OAK,31,qb,12,6,4-2-0,135,260,51.9,1754,10,3.8,16,6.2,80,47,6.7,4.7,13,146.2,60.6,36,207,5.23,3.47,12.2,1,1
28,Warren Moon,SEA,42,QB,10,10,4-6-0,145,258,56.2,1632,11,4.3,8,3.1,79,45,6.3,5.8,11.3,163.2,76.6,22,140,5.33,4.83,7.9,,
29,Danny Kanell,NYG,25,QB,10,10,3-7-0,160,299,53.5,1603,11,3.7,10,3.3,72,46,5.4,4.6,10,160.3,67.3,22,172,4.46,3.74,6.9,,
30,Billy Joe Tolliver,NOR,32,qb,7,4,1-3-0,110,199,55.3,1427,8,4,4,2,66,82,7.2,7.1,13,203.9,83.1,11,88,6.38,6.28,5.2,,
31,Eric Zeier,BAL,26,qb,10,4,1-3-0,107,181,59.1,1312,4,2.2,3,1.7,47,73,7.2,6.9,12.3,131.2,82,18,138,5.9,5.62,9,,
32,Ryan Leaf,SDG,22,qb,10,9,3-6-0,111,245,45.3,1289,2,0.8,15,6.1,66,67,5.3,2.7,11.6,128.9,39,22,140,4.3,1.93,8.2,1,2
33,Steve Stenstrom,CHI,27,qb,7,7,1-6-0,112,196,57.1,1252,4,2,6,3.1,63,48,6.4,5.4,11.2,178.9,70.4,19,137,5.19,4.3,8.8,,
34,Kent Graham,NYG,30,qb,11,6,5-1-0,105,205,51.2,1219,7,3.4,5,2.4,56,87,5.9,5.5,11.6,110.8,70.8,12,75,5.27,4.88,5.5,1,1
35,Jason Garrett,DAL,32,qb,8,5,3-2-0,91,158,57.6,1206,5,3.2,3,1.9,45,80,7.6,7.4,13.3,150.8,84.5,10,52,6.87,6.66,6,,
36,Jeff George,OAK,31,QB,8,7,3-4-0,93,169,55,1186,4,2.4,5,3,52,75,7,6.2,12.8,148.3,72.7,22,162,5.36,4.6,11.5,0,1
37,Jon Kitna,SEA,26,qb,6,5,3-2-0,98,172,57,1177,7,4.1,8,4.7,50,70,6.8,5.6,12,196.2,72.3,11,72,6.04,4.84,6,1,1
38,Elvis Grbac,KAN,28,qb,8,6,2-4-0,98,188,52.1,1142,5,2.7,12,6.4,49,65,6.1,3.7,11.7,142.8,53.1,11,57,5.45,3.24,5.5,0,1
39,Koy Detmer,PHI,25,qb,8,5,1-4-0,97,181,53.6,1011,5,2.8,5,2.8,46,61,5.6,4.9,10.4,126.4,67.7,5,29,5.28,4.61,2.7,,
40,Bubby Brister,DEN,36,,7,4,4-0-0,78,131,59.5,986,10,7.6,3,2.3,46,48,7.5,8,12.6,140.9,99,7,49,6.79,7.26,5.1,,
41,Bobby Hoying,PHI,26,QB,8,7,1-6-0,114,224,50.9,961,0,0,9,4,52,38,4.3,2.5,8.4,120.1,45.6,35,185,3,1.43,13.5,1,1
42,Rob Johnson,BUF,25,qb,8,6,3-3-0,67,107,62.6,910,8,7.5,3,2.8,41,66,8.5,8.7,13.6,113.8,102.9,29,163,5.49,5.68,21.3,,
43,Steve Bono,STL,36,,6,2,0-2-0,69,136,50.7,807,5,3.7,4,2.9,42,47,5.9,5.3,11.7,134.5,69.1,6,57,5.28,4.72,4.2,,
44,Frank Reich,DET,37,,6,2,0-2-0,63,110,57.3,768,5,4.5,4,3.6,36,41,7,6.3,12.2,128,78.9,4,18,6.58,5.88,3.5,,
45,Rodney Peete,PHI,32,,5,4,1-3-0,71,129,55,758,2,1.6,4,3.1,44,25,5.9,4.8,10.7,151.6,64.7,16,103,4.52,3.55,11,,
46,Glenn Foley,NYJ,28,,5,3,0-3-0,58,108,53.7,749,4,3.7,6,5.6,36,48,6.9,5.2,12.9,149.8,64.9,5,49,6.19,4.51,4.4,,
47,Brad Johnson,MIN,30,,4,2,2-0-0,65,101,64.4,747,7,6.9,5,5,43,48,7.4,6.6,11.5,186.8,89,4,30,6.83,6.02,3.8,0,1
48,Jeff Blake,CIN,28,,8,2,1-1-0,51,93,54.8,739,3,3.2,3,3.2,29,67,7.9,7.1,14.5,92.4,78.2,15,79,6.11,5.42,13.9,1,1
49,Danny Wuerffel,NOR,24,,5,4,2-2-0,62,119,52.1,695,5,4.2,5,4.2,35,64,5.8,4.8,11.2,139,66.3,23,131,3.97,3.09,16.2,2,2
50,Wade Wilson,OAK,39,,5,3,1-2-0,52,88,59.1,568,7,8,4,4.5,22,68,6.5,6,10.9,113.6,85.8,9,77,5.06,4.65,9.3,1,1
51,Scott Mitchell,DET,30,,2,2,0-2-0,38,75,50.7,452,1,1.3,3,4,26,44,6,4.5,11.9,226,57.2,4,28,5.37,3.91,5.1,,
52,Paul Justin,CIN,30,,5,3,0-3-0,34,63,54,426,1,1.6,3,4.8,18,41,6.8,4.9,12.5,85.2,60.7,7,60,5.23,3.59,10,,
53,John Friesz,SEA,31,,6,1,1-0-0,29,49,59.2,409,2,4.1,2,4.1,14,81,8.3,7.3,14.1,68.2,82.8,1,7,8.04,7.04,2,,
54,Jonathan Quinn,JAX,23,,4,2,1-1-0,34,64,53.1,387,2,3.1,3,4.7,16,64,6,4.6,11.4,96.8,62.4,9,49,4.63,3.33,12.3,,
55,Scott Zolak,NWE,31,,6,2,1-1-0,32,75,42.7,371,3,4,3,4,18,61,4.9,3.9,11.6,61.8,54.9,4,49,4.08,3.13,5.1,1,1
56,Steve DeBerg,ATL,44,,8,1,0-1-0,30,59,50.8,369,3,5.1,1,1.7,19,35,6.3,6.5,12.3,46.1,80.4,6,60,4.75,4.98,9.2,,
57,Jamie Martin,JAX,28,,4,1,0-1-0,27,45,60,355,2,4.4,0,0,12,67,7.9,8.8,13.1,88.8,99.8,2,10,7.34,8.19,4.3,,
58,Ty Detmer,SFO,31,,16,1,1-0-0,24,38,63.2,312,4,10.5,3,7.9,17,36,8.2,6.8,13,19.5,91.1,5,20,6.79,5.51,11.6,1,1
